ID,Hours,Machine ID,Department,MSEB Zone,KWH Reading,Consumption,P#F,Parts produced,Molten Metal,Batch ID,Cost of Energy,KWH_Tonne,KWH_part,Date
1973,4,COM2,Utilities,Zone A,3539,14,0.94,50,0,0,₹ 70.00,0,0.28,6-Aug-24
1974,5,COM2,Utilities,Zone A,3552,13,0.94,51,0,0,₹ 65.00,0,0.2549019608,6-Aug-24
1977,8,COM2,Utilities,Zone B,3596,14,0.94,51,0,0,₹ 98.00,0,0.2745098039,6-Aug-24
1978,9,COM2,Utilities,Zone C,3608,12,0.94,49,0,0,₹ 108.00,0,0.2448979592,6-Aug-24
1982,13,COM2,Utilities,Zone B,3660,13,0.94,57,0,0,₹ 91.00,0,0.2280701754,6-Aug-24
1984,15,COM2,Utilities,Zone B,3690,15,0.94,58,0,0,₹ 105.00,0,0.2586206897,6-Aug-24
2002,9,COM2,Utilities,Zone C,3944,13,0.94,51,0,0,₹ 117.00,0,0.2549019608,7-Aug-24
2004,11,COM2,Utilities,Zone C,3972,14,0.94,58,0,0,₹ 126.00,0,0.2413793103,7-Aug-24
2005,12,COM2,Utilities,Zone B,3988,16,0.94,49,0,0,₹ 112.00,0,0.3265306122,7-Aug-24
2008,15,COM2,Utilities,Zone B,4026,12,0.94,58,0,0,₹ 84.00,0,0.2068965517,7-Aug-24
2010,17,COM2,Utilities,Zone B,4055,13,0.94,57,0,0,₹ 91.00,0,0.2280701754,7-Aug-24
2016,23,COM2,Utilities,Zone A,4141,15,0.94,60,0,0,₹ 75.00,0,0.25,7-Aug-24
2020,3,COM2,Utilities,Zone A,4197,16,0.94,54,0,0,₹ 80.00,0,0.2962962963,8-Aug-24
2024,7,COM2,Utilities,Zone B,4253,12,0.94,56,0,0,₹ 84.00,0,0.2142857143,8-Aug-24
2025,8,COM2,Utilities,Zone B,4267,14,0.94,50,0,0,₹ 98.00,0,0.28,8-Aug-24
2039,22,COM2,Utilities,Zone A,4468,15,0.94,45,0,0,₹ 75.00,0,0.3333333333,8-Aug-24
2045,4,COM2,Utilities,Zone A,4551,14,0.94,45,0,0,₹ 70.00,0,0.3111111111,9-Aug-24
2046,5,COM2,Utilities,Zone A,4567,16,0.94,50,0,0,₹ 80.00,0,0.32,9-Aug-24
2047,6,COM2,Utilities,Zone B,4580,13,0.94,60,0,0,₹ 91.00,0,0.2166666667,9-Aug-24
2048,7,COM2,Utilities,Zone B,4596,16,0.94,55,0,0,₹ 112.00,0,0.2909090909,9-Aug-24
2054,13,COM2,Utilities,Zone B,4680,14,0.94,46,0,0,₹ 98.00,0,0.3043478261,9-Aug-24
2058,17,COM2,Utilities,Zone B,4734,16,0.94,55,0,0,₹ 112.00,0,0.2909090909,9-Aug-24
2061,20,COM2,Utilities,Zone D,4773,14,0.94,57,0,0,₹ 154.00,0,0.2456140351,9-Aug-24
2063,22,COM2,Utilities,Zone A,4800,13,0.94,53,0,0,₹ 65.00,0,0.2452830189,9-Aug-24
2070,5,COM2,Utilities,Zone A,4895,16,0.94,56,0,0,₹ 80.00,0,0.2857142857,10-Aug-24
2080,15,COM2,Utilities,Zone B,5028,12,0.94,55,0,0,₹ 84.00,0,0.2181818182,10-Aug-24
2081,16,COM2,Utilities,Zone B,5041,13,0.94,54,0,0,₹ 91.00,0,0.2407407407,10-Aug-24
2082,17,COM2,Utilities,Zone B,5053,12,0.94,49,0,0,₹ 84.00,0,0.2448979592,10-Aug-24
2087,22,COM2,Utilities,Zone A,5121,15,0.94,54,0,0,₹ 75.00,0,0.2777777778,10-Aug-24
2096,7,COM2,Utilities,Zone B,5254,14,0.94,47,0,0,₹ 98.00,0,0.2978723404,11-Aug-24
2100,11,COM2,Utilities,Zone C,5307,15,0.94,52,0,0,₹ 135.00,0,0.2884615385,11-Aug-24
2101,12,COM2,Utilities,Zone B,5319,12,0.94,52,0,0,₹ 84.00,0,0.2307692308,11-Aug-24
2102,13,COM2,Utilities,Zone B,5333,14,0.94,57,0,0,₹ 98.00,0,0.2456140351,11-Aug-24
2103,14,COM2,Utilities,Zone B,5347,14,0.94,50,0,0,₹ 98.00,0,0.28,11-Aug-24
2117,4,COM2,Utilities,Zone A,5548,15,0.94,55,0,0,₹ 75.00,0,0.2727272727,12-Aug-24
2121,8,COM2,Utilities,Zone B,5608,16,0.94,53,0,0,₹ 112.00,0,0.3018867925,12-Aug-24
2125,12,COM2,Utilities,Zone B,5661,12,0.94,54,0,0,₹ 84.00,0,0.2222222222,12-Aug-24
2127,14,COM2,Utilities,Zone B,5690,16,0.94,57,0,0,₹ 112.00,0,0.2807017544,12-Aug-24
2132,19,COM2,Utilities,Zone D,5763,13,0.94,59,0,0,₹ 143.00,0,0.2203389831,12-Aug-24
2134,21,COM2,Utilities,Zone D,5789,12,0.94,57,0,0,₹ 132.00,0,0.2105263158,12-Aug-24
2135,22,COM2,Utilities,Zone A,5801,12,0.94,58,0,0,₹ 60.00,0,0.2068965517,12-Aug-24
2136,23,COM2,Utilities,Zone A,5814,13,0.94,51,0,0,₹ 65.00,0,0.2549019608,12-Aug-24
2140,3,COM2,Utilities,Zone A,5868,16,0.94,59,0,0,₹ 80.00,0,0.2711864407,13-Aug-24
2144,7,COM2,Utilities,Zone B,5918,12,0.94,48,0,0,₹ 84.00,0,0.25,13-Aug-24
2150,13,COM2,Utilities,Zone B,6004,16,0.94,59,0,0,₹ 112.00,0,0.2711864407,13-Aug-24
2151,14,COM2,Utilities,Zone B,6019,15,0.94,48,0,0,₹ 105.00,0,0.3125,13-Aug-24
2152,15,COM2,Utilities,Zone B,6032,13,0.94,49,0,0,₹ 91.00,0,0.2653061224,13-Aug-24
2153,16,COM2,Utilities,Zone B,6048,16,0.94,52,0,0,₹ 112.00,0,0.3076923077,13-Aug-24
1081,0,COM1,Utilities,Zone A,1095,5,0.94,56,0,0,₹ 25.00,0,0.08928571429,30-Jul-24
1090,9,COM1,Utilities,Zone C,1162,6,0.94,49,0,0,₹ 54.00,0,0.1224489796,30-Jul-24
1092,11,COM1,Utilities,Zone C,1176,6,0.94,51,0,0,₹ 54.00,0,0.1176470588,30-Jul-24
1101,20,COM1,Utilities,Zone D,1240,6,0.94,56,0,0,₹ 66.00,0,0.1071428571,30-Jul-24
1103,22,COM1,Utilities,Zone A,1255,9,0.94,51,0,0,₹ 45.00,0,0.1764705882,30-Jul-24
1104,23,COM1,Utilities,Zone A,1261,6,0.94,56,0,0,₹ 30.00,0,0.1071428571,30-Jul-24
1108,3,COM1,Utilities,Zone A,1285,6,0.94,52,0,0,₹ 30.00,0,0.1153846154,31-Jul-24
1121,16,COM1,Utilities,Zone B,1366,5,0.94,58,0,0,₹ 35.00,0,0.08620689655,31-Jul-24
1124,19,COM1,Utilities,Zone D,1391,8,0.94,46,0,0,₹ 88.00,0,0.1739130435,31-Jul-24
1129,0,COM1,Utilities,Zone A,1428,8,0.94,53,0,0,₹ 40.00,0,0.1509433962,1-Aug-24
1132,3,COM1,Utilities,Zone A,1455,7,0.94,51,0,0,₹ 35.00,0,0.137254902,1-Aug-24
1133,4,COM1,Utilities,Zone A,1464,9,0.94,53,0,0,₹ 45.00,0,0.1698113208,1-Aug-24
1140,11,COM1,Utilities,Zone C,1513,8,0.94,58,0,0,₹ 72.00,0,0.1379310345,1-Aug-24
1141,12,COM1,Utilities,Zone B,1520,7,0.94,60,0,0,₹ 49.00,0,0.1166666667,1-Aug-24
1144,15,COM1,Utilities,Zone B,1542,5,0.94,49,0,0,₹ 35.00,0,0.1020408163,1-Aug-24
1148,19,COM1,Utilities,Zone D,1574,9,0.94,57,0,0,₹ 99.00,0,0.1578947368,1-Aug-24
1154,1,COM1,Utilities,Zone A,1613,6,0.94,53,0,0,₹ 30.00,0,0.1132075472,2-Aug-24
1160,7,COM1,Utilities,Zone B,1661,8,0.94,58,0,0,₹ 56.00,0,0.1379310345,2-Aug-24
1168,15,COM1,Utilities,Zone B,1726,7,0.94,46,0,0,₹ 49.00,0,0.152173913,2-Aug-24
1177,0,COM1,Utilities,Zone A,1798,9,0.94,54,0,0,₹ 45.00,0,0.1666666667,3-Aug-24
1179,2,COM1,Utilities,Zone A,1815,10,0.94,47,0,0,₹ 50.00,0,0.2127659574,3-Aug-24
1184,7,COM1,Utilities,Zone B,1851,6,0.94,57,0,0,₹ 42.00,0,0.1052631579,3-Aug-24
1190,13,COM1,Utilities,Zone B,1896,8,0.94,58,0,0,₹ 56.00,0,0.1379310345,3-Aug-24
1192,15,COM1,Utilities,Zone B,1910,9,0.94,58,0,0,₹ 63.00,0,0.1551724138,3-Aug-24
1194,17,COM1,Utilities,Zone B,1926,6,0.94,51,0,0,₹ 42.00,0,0.1176470588,3-Aug-24
1196,19,COM1,Utilities,Zone D,1944,8,0.94,49,0,0,₹ 88.00,0,0.1632653061,3-Aug-24
1201,0,COM1,Utilities,Zone A,1987,9,0.94,57,0,0,₹ 45.00,0,0.1578947368,4-Aug-24
1205,4,COM1,Utilities,Zone A,2018,9,0.94,60,0,0,₹ 45.00,0,0.15,4-Aug-24
1209,8,COM1,Utilities,Zone B,2051,9,0.94,45,0,0,₹ 63.00,0,0.2,4-Aug-24
1225,0,COM1,Utilities,Zone A,2178,10,0.94,60,0,0,₹ 50.00,0,0.1666666667,5-Aug-24
1226,1,COM1,Utilities,Zone A,2183,5,0.94,47,0,0,₹ 25.00,0,0.1063829787,5-Aug-24
1230,5,COM1,Utilities,Zone A,2216,10,0.94,52,0,0,₹ 50.00,0,0.1923076923,5-Aug-24
1232,7,COM1,Utilities,Zone B,2234,9,0.94,58,0,0,₹ 63.00,0,0.1551724138,5-Aug-24
1235,10,COM1,Utilities,Zone C,2255,7,0.94,58,0,0,₹ 63.00,0,0.1206896552,5-Aug-24
1254,5,COM1,Utilities,Zone A,2397,10,0.94,54,0,0,₹ 50.00,0,0.1851851852,6-Aug-24
1255,6,COM1,Utilities,Zone B,2405,8,0.94,48,0,0,₹ 56.00,0,0.1666666667,6-Aug-24
1270,21,COM1,Utilities,Zone D,2514,7,0.94,58,0,0,₹ 77.00,0,0.1206896552,6-Aug-24
1273,0,COM1,Utilities,Zone A,2539,10,0.94,59,0,0,₹ 50.00,0,0.1694915254,7-Aug-24
1277,4,COM1,Utilities,Zone A,2575,8,0.94,57,0,0,₹ 40.00,0,0.1403508772,7-Aug-24
1281,8,COM1,Utilities,Zone B,2604,8,0.94,48,0,0,₹ 56.00,0,0.1666666667,7-Aug-24
1288,15,COM1,Utilities,Zone B,2666,9,0.94,55,0,0,₹ 63.00,0,0.1636363636,7-Aug-24
1289,16,COM1,Utilities,Zone B,2674,8,0.94,56,0,0,₹ 56.00,0,0.1428571429,7-Aug-24
1293,20,COM1,Utilities,Zone D,2704,6,0.94,48,0,0,₹ 66.00,0,0.125,7-Aug-24
1298,1,COM1,Utilities,Zone A,2739,5,0.94,50,0,0,₹ 25.00,0,0.1,8-Aug-24
1303,6,COM1,Utilities,Zone B,2783,6,0.94,56,0,0,₹ 42.00,0,0.1071428571,8-Aug-24
1304,7,COM1,Utilities,Zone B,2792,9,0.94,59,0,0,₹ 63.00,0,0.1525423729,8-Aug-24
1308,11,COM1,Utilities,Zone C,2821,7,0.94,46,0,0,₹ 63.00,0,0.152173913,8-Aug-24
1311,14,COM1,Utilities,Zone B,2849,10,0.94,58,0,0,₹ 70.00,0,0.1724137931,8-Aug-24
1312,15,COM1,Utilities,Zone B,2854,5,0.94,54,0,0,₹ 35.00,0,0.09259259259,8-Aug-24
1316,19,COM1,Utilities,Zone D,2887,8,0.94,50,0,0,₹ 88.00,0,0.16,8-Aug-24
1320,23,COM1,Utilities,Zone A,2914,7,0.94,45,0,0,₹ 35.00,0,0.1555555556,8-Aug-24
1322,1,COM1,Utilities,Zone A,2927,6,0.94,50,0,0,₹ 30.00,0,0.12,9-Aug-24
1331,10,COM1,Utilities,Zone C,2990,6,0.94,55,0,0,₹ 54.00,0,0.1090909091,9-Aug-24
1343,22,COM1,Utilities,Zone A,3083,9,0.94,60,0,0,₹ 45.00,0,0.15,9-Aug-24
1345,0,COM1,Utilities,Zone A,3100,7,0.94,55,0,0,₹ 35.00,0,0.1272727273,10-Aug-24
1351,6,COM1,Utilities,Zone B,3145,5,0.94,51,0,0,₹ 35.00,0,0.09803921569,10-Aug-24
1359,14,COM1,Utilities,Zone B,3199,5,0.94,49,0,0,₹ 35.00,0,0.1020408163,10-Aug-24
1363,18,COM1,Utilities,Zone D,3227,6,0.94,51,0,0,₹ 66.00,0,0.1176470588,10-Aug-24
1364,19,COM1,Utilities,Zone D,3237,10,0.94,48,0,0,₹ 110.00,0,0.2083333333,10-Aug-24
1369,0,COM1,Utilities,Zone A,3279,7,0.94,47,0,0,₹ 35.00,0,0.1489361702,11-Aug-24
1378,9,COM1,Utilities,Zone C,3352,10,0.94,59,0,0,₹ 90.00,0,0.1694915254,11-Aug-24
1379,10,COM1,Utilities,Zone C,3362,10,0.94,57,0,0,₹ 90.00,0,0.1754385965,11-Aug-24
1382,13,COM1,Utilities,Zone B,3390,10,0.94,58,0,0,₹ 70.00,0,0.1724137931,11-Aug-24
1390,21,COM1,Utilities,Zone D,3448,9,0.94,48,0,0,₹ 99.00,0,0.1875,11-Aug-24
1393,0,COM1,Utilities,Zone A,3473,10,0.94,58,0,0,₹ 50.00,0,0.1724137931,12-Aug-24
1394,1,COM1,Utilities,Zone A,3482,9,0.94,54,0,0,₹ 45.00,0,0.1666666667,12-Aug-24
1396,3,COM1,Utilities,Zone A,3498,7,0.94,45,0,0,₹ 35.00,0,0.1555555556,12-Aug-24
1398,5,COM1,Utilities,Zone A,3510,6,0.94,52,0,0,₹ 30.00,0,0.1153846154,12-Aug-24
1415,22,COM1,Utilities,Zone A,3636,7,0.94,55,0,0,₹ 35.00,0,0.1272727273,12-Aug-24
1422,5,COM1,Utilities,Zone A,3692,5,0.94,56,0,0,₹ 25.00,0,0.08928571429,13-Aug-24
1425,8,COM1,Utilities,Zone B,3713,5,0.94,60,0,0,₹ 35.00,0,0.08333333333,13-Aug-24
1438,21,COM1,Utilities,Zone D,3823,10,0.94,57,0,0,₹ 110.00,0,0.1754385965,13-Aug-24
2161,0,Office,Utilities,Zone A,1984,4,0.94,52,0,0,₹ 20.00,0,0.07692307692,30-Jul-24
2163,2,Office,Utilities,Zone A,1991,3,0.94,52,0,0,₹ 15.00,0,0.05769230769,30-Jul-24
2183,22,Office,Utilities,Zone A,2067,3,0.94,55,0,0,₹ 15.00,0,0.05454545455,30-Jul-24
2193,8,Office,Utilities,Zone B,2107,3,0.94,57,0,0,₹ 21.00,0,0.05263157895,31-Jul-24
2194,9,Office,Utilities,Zone C,2112,5,0.94,56,0,0,₹ 45.00,0,0.08928571429,31-Jul-24
2196,11,Office,Utilities,Zone C,2119,3,0.94,48,0,0,₹ 27.00,0,0.0625,31-Jul-24
2199,14,Office,Utilities,Zone B,2131,4,0.94,49,0,0,₹ 28.00,0,0.08163265306,31-Jul-24
2202,17,Office,Utilities,Zone B,2143,5,0.94,53,0,0,₹ 35.00,0,0.09433962264,31-Jul-24
2205,20,Office,Utilities,Zone D,2153,3,0.94,55,0,0,₹ 33.00,0,0.05454545455,31-Jul-24
2206,21,Office,Utilities,Zone D,2158,5,0.94,50,0,0,₹ 55.00,0,0.1,31-Jul-24
2207,22,Office,Utilities,Zone A,2163,5,0.94,52,0,0,₹ 25.00,0,0.09615384615,31-Jul-24
2208,23,Office,Utilities,Zone A,2168,5,0.94,55,0,0,₹ 25.00,0,0.09090909091,31-Jul-24
2209,0,Office,Utilities,Zone A,2173,5,0.94,59,0,0,₹ 25.00,0,0.08474576271,1-Aug-24
2210,1,Office,Utilities,Zone A,2176,3,0.94,50,0,0,₹ 15.00,0,0.06,1-Aug-24
2218,9,Office,Utilities,Zone C,2213,4,0.94,47,0,0,₹ 36.00,0,0.08510638298,1-Aug-24
2221,12,Office,Utilities,Zone B,2223,4,0.94,54,0,0,₹ 28.00,0,0.07407407407,1-Aug-24
2223,14,Office,Utilities,Zone B,2233,5,0.94,58,0,0,₹ 35.00,0,0.08620689655,1-Aug-24
2228,19,Office,Utilities,Zone D,2255,4,0.94,46,0,0,₹ 44.00,0,0.08695652174,1-Aug-24
2252,19,Office,Utilities,Zone D,2353,4,0.94,52,0,0,₹ 44.00,0,0.07692307692,2-Aug-24
2270,13,Office,Utilities,Zone B,2423,3,0.94,47,0,0,₹ 21.00,0,0.06382978723,3-Aug-24
2284,3,Office,Utilities,Zone A,2482,5,0.94,56,0,0,₹ 25.00,0,0.08928571429,4-Aug-24
2300,19,Office,Utilities,Zone D,2547,3,0.94,46,0,0,₹ 33.00,0,0.0652173913,4-Aug-24
2303,22,Office,Utilities,Zone A,2560,5,0.94,58,0,0,₹ 25.00,0,0.08620689655,4-Aug-24
2312,7,Office,Utilities,Zone B,2595,3,0.94,49,0,0,₹ 21.00,0,0.0612244898,5-Aug-24
2320,15,Office,Utilities,Zone B,2626,3,0.94,60,0,0,₹ 21.00,0,0.05,5-Aug-24
2327,22,Office,Utilities,Zone A,2656,4,0.94,57,0,0,₹ 20.00,0,0.0701754386,5-Aug-24
2345,16,Office,Utilities,Zone B,2728,5,0.94,60,0,0,₹ 35.00,0,0.08333333333,6-Aug-24
2353,0,Office,Utilities,Zone A,2761,5,0.94,53,0,0,₹ 25.00,0,0.09433962264,7-Aug-24
2356,3,Office,Utilities,Zone A,2773,3,0.94,58,0,0,₹ 15.00,0,0.05172413793,7-Aug-24
2365,12,Office,Utilities,Zone B,2808,3,0.94,48,0,0,₹ 21.00,0,0.0625,7-Aug-24
2368,15,Office,Utilities,Zone B,2819,4,0.94,58,0,0,₹ 28.00,0,0.06896551724,7-Aug-24
2374,21,Office,Utilities,Zone D,2844,4,0.94,56,0,0,₹ 44.00,0,0.07142857143,7-Aug-24
2375,22,Office,Utilities,Zone A,2847,3,0.94,54,0,0,₹ 15.00,0,0.05555555556,7-Aug-24
2376,23,Office,Utilities,Zone A,2850,3,0.94,59,0,0,₹ 15.00,0,0.05084745763,7-Aug-24
2380,3,Office,Utilities,Zone A,2863,4,0.94,48,0,0,₹ 20.00,0,0.08333333333,8-Aug-24
2384,7,Office,Utilities,Zone B,2877,4,0.94,55,0,0,₹ 28.00,0,0.07272727273,8-Aug-24
2389,12,Office,Utilities,Zone B,2894,3,0.94,53,0,0,₹ 21.00,0,0.05660377358,8-Aug-24
2393,16,Office,Utilities,Zone B,2908,3,0.94,51,0,0,₹ 21.00,0,0.05882352941,8-Aug-24
2403,2,Office,Utilities,Zone A,2946,4,0.94,60,0,0,₹ 20.00,0,0.06666666667,9-Aug-24
2409,8,Office,Utilities,Zone B,2970,5,0.94,51,0,0,₹ 35.00,0,0.09803921569,9-Aug-24
2418,17,Office,Utilities,Zone B,3005,5,0.94,50,0,0,₹ 35.00,0,0.1,9-Aug-24
2425,0,Office,Utilities,Zone A,3035,4,0.94,47,0,0,₹ 20.00,0,0.08510638298,10-Aug-24
2427,2,Office,Utilities,Zone A,3042,3,0.94,59,0,0,₹ 15.00,0,0.05084745763,10-Aug-24
2428,3,Office,Utilities,Zone A,3047,5,0.94,46,0,0,₹ 25.00,0,0.1086956522,10-Aug-24
2435,10,Office,Utilities,Zone C,3075,3,0.94,57,0,0,₹ 27.00,0,0.05263157895,10-Aug-24
2438,13,Office,Utilities,Zone B,3089,5,0.94,49,0,0,₹ 35.00,0,0.1020408163,10-Aug-24
2444,19,Office,Utilities,Zone D,3109,3,0.94,52,0,0,₹ 33.00,0,0.05769230769,10-Aug-24
2466,17,Office,Utilities,Zone B,3194,3,0.94,45,0,0,₹ 21.00,0,0.06666666667,11-Aug-24
2471,22,Office,Utilities,Zone A,3216,5,0.94,50,0,0,₹ 25.00,0,0.1,11-Aug-24
2474,1,Office,Utilities,Zone A,3226,4,0.94,47,0,0,₹ 20.00,0,0.08510638298,12-Aug-24
2478,5,Office,Utilities,Zone A,3244,5,0.94,54,0,0,₹ 25.00,0,0.09259259259,12-Aug-24
2479,6,Office,Utilities,Zone B,3247,3,0.94,47,0,0,₹ 21.00,0,0.06382978723,12-Aug-24
2485,12,Office,Utilities,Zone B,3273,5,0.94,52,0,0,₹ 35.00,0,0.09615384615,12-Aug-24
2488,15,Office,Utilities,Zone B,3284,4,0.94,49,0,0,₹ 28.00,0,0.08163265306,12-Aug-24
2504,7,Office,Utilities,Zone B,3349,5,0.94,45,0,0,₹ 35.00,0,0.1111111111,13-Aug-24
2519,22,Office,Utilities,Zone A,3401,3,0.94,57,0,0,₹ 15.00,0,0.05263157895,13-Aug-24
1094,13,COM1,Utilities,Zone B,1191,9,0.95,48,0,0,₹ 63.00,0,0.1875,30-Jul-24
1131,2,COM1,Utilities,Zone A,1448,10,0.95,57,0,0,₹ 50.00,0,0.1754385965,1-Aug-24
1138,9,COM1,Utilities,Zone C,1500,10,0.95,60,0,0,₹ 90.00,0,0.1666666667,1-Aug-24
1145,16,COM1,Utilities,Zone B,1552,10,0.95,55,0,0,₹ 70.00,0,0.1818181818,1-Aug-24
1151,22,COM1,Utilities,Zone A,1592,6,0.95,46,0,0,₹ 30.00,0,0.1304347826,1-Aug-24
1152,23,COM1,Utilities,Zone A,1599,7,0.95,48,0,0,₹ 35.00,0,0.1458333333,1-Aug-24
1155,2,COM1,Utilities,Zone A,1623,10,0.95,59,0,0,₹ 50.00,0,0.1694915254,2-Aug-24
1167,14,COM1,Utilities,Zone B,1719,10,0.95,49,0,0,₹ 70.00,0,0.2040816327,2-Aug-24
1176,23,COM1,Utilities,Zone A,1789,9,0.95,50,0,0,₹ 45.00,0,0.18,2-Aug-24
1178,1,COM1,Utilities,Zone A,1805,7,0.95,52,0,0,₹ 35.00,0,0.1346153846,3-Aug-24
1185,8,COM1,Utilities,Zone B,1858,7,0.95,50,0,0,₹ 49.00,0,0.14,3-Aug-24
1187,10,COM1,Utilities,Zone C,1874,7,0.95,45,0,0,₹ 63.00,0,0.1555555556,3-Aug-24
1199,22,COM1,Utilities,Zone A,1968,7,0.95,46,0,0,₹ 35.00,0,0.152173913,3-Aug-24
1200,23,COM1,Utilities,Zone A,1978,10,0.95,56,0,0,₹ 50.00,0,0.1785714286,3-Aug-24
1217,16,COM1,Utilities,Zone B,2112,8,0.95,49,0,0,₹ 56.00,0,0.1632653061,4-Aug-24
1219,18,COM1,Utilities,Zone D,2128,7,0.95,53,0,0,₹ 77.00,0,0.1320754717,4-Aug-24
